Strain	Expect	RTO4_ID	Short Name	Description	Cluster Order	Cluster
APA 4140	none	RTO4_11920	$YKU70\Delta$			
APA 9177	high	RTO4_12031	$CysB^3\Delta$	K01738 cysK cysteine synthase A	4	"LA1 - Increased accumulation, high confidence"
APA 9176	high	RTO4_11272	$ALG12\Delta$	"K03847 ALG12 alpha-1,6-mannosyltransferase"	7	"LA1 - Increased accumulation, high confidence"
APA 4819	high	RTO4_8709	$MET14\Delta$	K00860 cysC adenylylsulfate kinase	9	"LA1 - Increased accumulation, high confidence"
APA 4815	high	RTO4_16215	$GNA1$-like$^1\Delta$	"KOG0085 G protein subunit Galphaq/Galphay, small G protein superfamily"	18	"LA1 - Increased accumulation, high confidence"
APA 4823	high	RTO4_10371	$KDelC1$-like$^1\Delta$	"KOG2458 Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif"	33	"LA1 - Increased accumulation, high confidence"
APA 9148	high	RTO4_16644	$BMH1\Delta$	K06630 YWHAE 14-3-3 protein epsilon	36	"LA1 - Increased accumulation, high confidence"
APA 9119	high	RTO4_16731	$ERP2\Delta$	KOG1693 emp24/gp25L/p24 family of membrane trafficking proteins	37	"LA1 - Increased accumulation, high confidence"
APA 4812	high	RTO4_14088	$RAC1^1\Delta$	K04392 RAC1 Ras-related C3 botulinum toxin substrate 1	51	"LA1 - Increased accumulation, high confidence"
APA 9160	high	RTO4_9026	$UBP13\Delta$	K11842 USP12_46 ubiquitin carboxyl-terminal hydrolase 12/46	58	"LA2 - Increased accumulation, low confidence"
APA 9163	high	RTO4_15890	$MYCL$-like$^1\Delta$	"HMMPfam-Helix-loop-helix DNA-binding domain-PF00010,ProSiteProfiles-Myc-type, basic helix-loop-helix (bHLH) domain profile.-PS50888,SMART-helix loop helix domain-SM00353,SUPERFAMILY--SSF47459"	61	"LA2 - Increased accumulation, low confidence"
APA 4846	high	RTO4_10302	$CMT1$-like$^2\Delta$	HMMPfam-Cryptococcal mannosyltransferase 1-PF11735	101	"LA3 - Increased accumulation, low confidence"
APA 4848	high	RTO4_12121	$PMT4\Delta$	K00728 POMT dolichyl-phosphate-mannose-protein mannosyltransferase	102	"LA3 - Increased accumulation, low confidence"
APA 9154	high	RTO4_11380	$PPZ1\Delta$	K06269 PPP1C serine/threonine-protein phosphatase PP1 catalytic subunit	135	"LA3 - Increased accumulation, low confidence"
APA 4883	none	RTO4_12639	$GDB1\Delta$	K01196 AGL glycogen debranching enzyme	159	LA4 - Conflicting results
APA 4832	none	RTO4_8506	$CCC1\Delta$	KOG4473 Uncharacterized membrane protein	161	LA4 - Conflicting results
