RTO4 ID	Orthogroup	Combined Annotations	Essential	Conserved Basidiomycete Essential	insert / kb	mapped inserts	ambiguously mapping inserts	total inserts	Sc Essential	An Essential	Cn Essential	Sp Essential	Nc Het	TotEssential
15582	RTO3OG7294	K17792: TIM54; mitochondrial import inner membrane translocase subunit TIM54	Yes	yes	0	0	0	0	0	0	1	0	0	1
12308	RTO3OG7383	KOG3162: Mitochondrial/chloroplast ribosomal protein S18	Yes	yes	0	0	0	0	0	0	1	0	0	1
13946	RTO3OG10328	"HMMPfam:HMG (high mobility group) box:PF00505,ProSiteProfiles:HMG boxes A and B DNA-binding domains profile.:PS50118,SMART:high mobility group:SM00398,SUPERFAMILY::SSF47095"	Yes	yes	0	0	0	0	0	0	0	0	0	0
10169	RTO3OG15640	HMMPfam:Survival motor neuron (SMN) interacting protein 1 (SIP1):PF04938	Yes	yes	0	0	0	0	0	0	0	0	0	0
15050	RTO3OG6192	"HMMPfam:Roadblock/LC7 domain:PF03259,SMART:Roadblock/LC7 domain:SM00960,SUPERFAMILY::SSF103196"	Yes	yes	0	0	0	0	0	0	0	0	0	0
15419	RTO3OG6278	HMMPfam:Translation initiation factor eIF3 subunit:PF08597	Yes	yes	0	0	0	0	0	0	0	0	0	0
10195	RTO3OG6857	KOG3958: Putative dynamitin	Yes	yes	0	0	0	0	0	0	0	0	0	0
16818	RTO3OG6921	"K06670: SCC1, MCD1, RAD21; cohesin complex subunit SCC1"	Yes	yes	0	0	0	0	0	0	0	0	0	0
8826	RTO3OG6924	KOG2676: Uncharacterized conserved protein	Yes	yes	0	0	0	0	0	0	0	0	0	0
12914	RTO3OG6927	"K16576: ACTR10, ARP11; actin-related protein 10"	Yes	yes	0	0	0	0	0	0	0	0	0	0
9144	RTO3OG7179	BLAST: NADH:ubiquinone oxidoreductase kD subunit [Pseudo...	Yes	yes	0	0	0	0	0	0	0	0	0	0
13842	RTO3OG7308	"HMMPfam:Mitochondrial ATP synthase epsilon chain:PF04627,SUPERFAMILY::SSF48690"	Yes	yes	0	0	0	0	0	0	0	0	0	0
9781	RTO3OG7356	KOG1711: Mitochondrial/chloroplast ribosomal protein L22	Yes	yes	0	0	0	0	0	0	0	0	0	0
14843	RTO3OG7369	KOG3442: Uncharacterized conserved protein	Yes	yes	0	0	0	0	0	0	0	0	0	0
14525	RTO3OG7474		Yes	yes	0	0	0	0	0	0	0	0	0	0
14717	RTO3OG7858	BLAST: NADH dehydrogenase [ubiquinone] 1 beta subcomplex...	Yes	yes	0	0	0	0	0	0	0	0	0	0
15233	RTO3OG8866	"HMMPfam:Spc24 subunit of Ndc80:PF08286,SUPERFAMILY::SSF143026"	Yes	yes	0	0	0	0	0	0	0	0	0	0
13364	RTO3OG9005	BLAST: expressed protein [Cryptococcus neoformans var. neofo...	Yes	yes	0	0	0	0	0	0	0	0	0	0
10171	RTO3OG6277	K15205: TFC6; transcription factor C subunit 6	Yes	yes	0.303	1	0	1	0	0	0	0	0	0
8610	RTO3OG8951	"HMMPfam:CorA-like Mg2+ transporter protein:PF01544,SUPERFAMILY::SSF143865"	Yes	yes	0.304	1	0	1	0	0	0	0	0	0
8912	RTO3OG6918	K00902: E2.7.1.108; dolichol kinase	Yes	yes	0.308	1	0	1	0	0	0	0	0	0
10648	RTO3OG7485	HMMPfam:B-block binding subunit of TFIIIC:PF04182	Yes	yes	0.401	3	0	3	0	0	0	0	0	0
11055	RTO3OG7340	K16542: CDK5RAP2; CDK5 regulatory subunit-associated protein 2	Yes	yes	0.448	2	0	2	0	0	0	0	0	0
14448	RTO3OG6915	KOG4379: Uncharacterized conserved protein (tumor antigen CML66 in humans)	Yes	yes	0.463	1	0	1	0	0	0	0	0	0
11911	RTO3OG7296	HMMPfam:MAGE family:PF01454	Yes	yes	0.572	1	0	1	0	0	0	0	0	0
15800	RTO3OG7427	KOG4197: FOG: PPR repeat	Yes	yes	0.574	1	0	1	0	0	0	0	0	0
11674	RTO3OG7407	"KOG0845: Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)"	Yes	yes	0.619	1	0	1	0	0	0	0	0	0
10281	RTO3OG7364	"K04564: SOD2; superoxide dismutase, Fe-Mn family"	Yes	yes	0.81	1	0	1	0	0	0	0	0	0
9488	RTO3OG7395	"KOG1612: Exosomal 3'-5' exoribonuclease complex, subunit Rrp42"	Yes	yes	0.811	1	0	1	0	0	0	0	0	0
14725	RTO3OG8971	"HMMPfam:Ribonuclease-III-like:PF14622,SMART:Ribonuclease III family:SM00535,SUPERFAMILY::SSF69065"	Yes	yes	0.816	1	0	1	0	0	0	0	0	0
16628	RTO3OG7385	KOG2354: RNA Polymerase C (III) 37 kDa subunit	Yes	yes	0.855	1	0	1	0	0	0	0	0	0
11334	RTO3OG6288	KOG3238: Chloride ion current inducer protein	Yes	yes	0.878	1	0	1	0	0	0	0	0	0
16786	RTO3OG7444	HMMPfam:Cgr1 family:PF03879	Yes	yes	1.603	1	0	1	0	0	0	0	0	0
14470	RTO3OG6908	"K14827: IPI1, TEX10; pre-rRNA-processing protein IPI1"	Yes	yes	1.612	5	0	5	0	0	0	0	0	0
15174	RTO3OG5946	BLAST: putative protein [Melanopsichium pennsylvanicum 4]	Yes	yes	1.869	2	0	2	0	0	0	0	0	0
15278	RTO3OG7406	KOG2287: Galactosyltransferases	Yes	yes	1.899	6	0	6	0	0	0	0	0	0
8487	None	"KOG3595: Dyneins, heavy chain"	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
8622	None	"KOG0970: DNA polymerase alpha, catalytic subunit"	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
8704	None	BLAST: AGAP003941-PA [Anopheles gambiae str. PEST]	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
8776	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
9239	None	BLAST: lanosterol synthase [Microbotryum lychnidis-dioicae p...	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
9313	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
9413	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
9985	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
10327	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
10348	None	KOG3436: 60S ribosomal protein L35	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
10411	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
10599	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
10634	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
11533	None		Yes	Rhodosporidium specific	0	0	22	22	0	0	0	0	0	0
11585	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
12092	None	KOG1744: Histone H2B	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
12098	None	"KOG1268: Glucosamine 6-phosphate synthetases, contain amidotransferase and phosphosugar isomerase domains"	Yes	Rhodosporidium specific	0	0	1	1	0	0	0	0	0	0
12159	None	K00287: folA; dihydrofolate reductase	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
12719	None	BLAST: clampless1 Clp1 protein [Rhizoctonia solani]	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
12764	None	BLAST: NAD(P)-dependent alcohol dehydrogenase [Mycena chloro...	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
13064	None	KOG1756: Histone 2A	Yes	Rhodosporidium specific	0	0	7	7	0	0	0	0	0	0
13149	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
13184	None	Interpro: Protein of unknown function (DUF1777)	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
13951	None	BLAST: putative ATP-dependent RNA helicase DHR1 [Wallemi...	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
14095	None	"HMMPfam:Elongation factor G C-terminus:PF00679,SUPERFAMILY::SSF54980"	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
14154	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
14515	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
14596	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
14735	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
15110	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
15141	None	"HMMPfam:Cation transporter/ATPase, N-terminus:PF00690,SUPERFAMILY::SSF81665"	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
15519	None	BLAST: putative transmembrane protein [Rhizoctonia solani 123E]	Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
15633	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
16247	None		Yes	Rhodosporidium specific	0	0	0	0	0	0	0	0	0	0
16551	None		Yes	Rhodosporidium specific	0	0	2	2	0	0	0	0	0	0
11536	None	"KOG2404: Fumarate reductase, flavoprotein subunit"	Yes	Rhodosporidium specific	0.477	1	38	39	0	0	0	0	0	0
10832	None		Yes	Rhodosporidium specific	0.599	1	0	1	0	0	0	0	0	0
9952	None		Yes	Rhodosporidium specific	0.912	1	0	1	0	0	0	0	0	0
11636	None		Yes	Rhodosporidium specific	1.091	1	0	1	0	0	0	0	0	0
11182	None		Yes	Rhodosporidium specific	1.095	1	31	32	0	0	0	0	0	0
8939	None		Yes	Rhodosporidium specific	1.195	1	0	1	0	0	0	0	0	0
12549	None		Yes	Rhodosporidium specific	1.384	3	0	3	0	0	0	0	0	0
11157	None	Interpro: SOCE-associated regulatory factor of calcium homoeostasis	Yes	Rhodosporidium specific	1.477	1	0	1	0	0	0	0	0	0
8888	None		Yes	Rhodosporidium specific	1.556	2	0	2	0	0	0	0	0	0
10986	None		Yes	Rhodosporidium specific	1.601	2	0	2	0	0	0	0	0	0
14848	None		Yes	Rhodosporidium specific	1.623	1	0	1	0	0	0	0	0	0
13164	None		Yes	Rhodosporidium specific	1.642	1	0	1	0	0	0	0	0	0
13973	None		Yes	Rhodosporidium specific	1.653	1	0	1	0	0	0	0	0	0
15933	None	KOG0029: Amine oxidase	Yes	Rhodosporidium specific	1.689	1	0	1	0	0	0	0	0	0
16218	None	KOG3291: Ribosomal protein S7	Yes	Rhodosporidium specific	1.832	1	0	1	0	0	0	0	0	0
13823	None	PRINTS:Proline rich extensin signature:PR01217	Yes	Rhodosporidium specific	1.984	1	0	1	0	0	0	0	0	0
15742	None		Yes	Rhodosporidium specific	1.984	1	0	1	0	0	0	0	0	0
8670	RTO3OG1164	"K00668: FAS1; fatty acid synthase subunit beta, fungi type"	Yes	no	0	0	0	0	1	1	1	1	1	5
9557	RTO3OG1399	K02183: CALM; calmodulin	Yes	no	0	0	0	0	1	1	1	1	1	5
15420	RTO3OG2747	"K01624: FBA, fbaA; fructose-bisphosphate aldolase, class II"	Yes	no	0	0	0	0	1	1	1	1	1	5
12927	RTO3OG3972	"HMMPfam:PAP2 superfamily:PF01569,SMART:Acid phosphatase homologues:SM00014,SUPERFAMILY::SSF48317"	Yes	no	0	0	0	0	1	1	1	1	1	5
8777	RTO3OG1164	"K00667: FAS2; fatty acid synthase subunit alpha, fungi type"	Yes	no	0.312	3	0	3	1	1	1	1	1	5
8976	RTO3OG1021	"K09490: HSPA5, BIP; heat shock 70kDa protein 5"	Yes	no	0	0	0	0	1	0	1	1	1	4
16570	RTO3OG1021	K03283: HSPA1_8; heat shock 70kDa protein 1/8	Yes	no	0	0	0	0	1	0	1	1	1	4
9701	RTO3OG1355	K08286: E2.7.11.-; protein-serine/threonine kinase	Yes	no	0	0	0	0	1	1	0	1	1	4
9831	RTO3OG1596	"K08850: AURKX; aurora kinase, other"	Yes	no	0	0	0	0	1	1	0	1	1	4
8534	RTO3OG1607	K07936: RAN; GTP-binding nuclear protein Ran	Yes	no	0	0	0	0	1	1	0	1	1	4
13403	RTO3OG1694	"K11304: TIP60, KAT5, ESA1; histone acetyltransferase HTATIP"	Yes	no	0	0	0	0	1	1	0	1	1	4
11854	RTO3OG1708	"K04563: CDC28, CDC2; cyclin-dependent kinase"	Yes	no	0	0	0	0	1	1	0	1	1	4
10066	RTO3OG1773	K11493: RCC1; regulator of chromosome condensation	Yes	no	0	0	0	0	1	1	0	1	1	4
10797	RTO3OG1835	"K03347: CUL1, CDC53; cullin 1"	Yes	no	0	0	0	0	1	1	0	1	1	4
11789	RTO3OG1957	"K14297: NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96"	Yes	no	0	0	0	0	1	1	0	1	1	4
8876	RTO3OG2031	"K16466: CETN3, CDC31; centrin-3"	Yes	no	0	0	0	0	1	1	0	1	1	4
10154	RTO3OG2114	"K04078: groES, HSPE1; chaperonin GroES"	Yes	no	0	0	0	0	1	0	1	1	1	4
10624	RTO3OG2188	"K14293: KPNB1, IPO1; importin subunit beta-1"	Yes	no	0	0	0	0	1	1	0	1	1	4
15158	RTO3OG2262	"K00671: E2.3.1.97, NMT; glycylpeptide N-tetradecanoyltransferase"	Yes	no	0	0	0	0	1	0	1	1	1	4
15123	RTO3OG3263	K14319: RANGAP1; Ran GTPase-activating protein 1	Yes	no	0	0	0	0	1	1	0	1	1	4
10875	RTO3OG3755	"K11232: YPD1; osomolarity two-component system, phosphorelay intermediate protein YPD1"	Yes	no	0	0	0	0	1	1	1	0	1	4
15503	RTO3OG4840	"K02948: RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"	Yes	no	0	0	0	0	1	0	1	1	1	4
13617	RTO3OG1145	"K01535: PMA1, PMA2; H+-transporting ATPase"	Yes	no	0.251	1	0	1	1	1	0	1	1	4
9468	RTO3OG4194	K14679: TRL1; tRNA ligase	Yes	no	0.34	1	0	1	1	0	1	1	1	4
