ID	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	length	inserts	essentialOrtholog	insertDensity
8369	mRNA_1	1	scaffold_1	1571	2453	-	8369	K12198 CHMP5, VPS60 charged multivesicular body protein 5	0.6183	11	882	29	0	32.8798185941
8370	mRNA_2	1	scaffold_1	3233	7809	-	8370	PRINTS-Proline rich extensin signature-PR01217	0.6561	45	4576	22	0	4.80769230769
8371	mRNA_3	1	scaffold_1	8155	10023	+	8371	K15161 CCNC, SSN8 cyclin C	0.6158	25	1868	32	0	17.130620985
8372	mRNA_4	1	scaffold_1	10225	11839	+	8372	K00772 mtaP, MTAP 5'-methylthioadenosine phosphorylase	0.6291	11	1614	22	0	13.6307311029
8373	mRNA_5	1	scaffold_1	12047	13694	+	8373	SUPERFAMILY--SSF51695	0.6019	31	1647	39	0	23.679417122
8374	mRNA_6	1	scaffold_1	13861	19221	-	8374	SUPERFAMILY--SSF47676	0.6335	59	5360	61	0	11.3805970149
8375	mRNA_7	1	scaffold_1	20174	22955	+	8375	HMMPfam-LIM-domain binding protein-PF01803,PRINTS-Proline rich extensin signature-PR01217	0.6517	31	2781	40	0	14.3833153542
8376	mRNA_8	1	scaffold_1	23178	26734	-	8376	K01194 TREH, treA, treF alpha,alpha-trehalase	0.6311	61	3556	61	0	17.1541057368
8377	mRNA_9	1	scaffold_1	28711	29599	-	8377	Hypothetical Protein	0.5849	10	888	9	0	10.1351351351
8378	mRNA_10	1	scaffold_1	29867	30741	+	8378	Hypothetical Protein	0.6046	10	874	16	0	18.3066361556
8379	mRNA_11	1	scaffold_1	31186	32050	-	8379	Hypothetical Protein	0.6197	9	864	13	0	15.0462962963
8380	mRNA_12	1	scaffold_1	32509	33351	+	8380	K12757 MYL12 myosin regulatory light chain 12	0.6204	6	842	19	0	22.5653206651
8381	mRNA_13	1	scaffold_1	33714	35045	-	8381	BLAST putative transmembrane protein [Rhizoctonia solani 123E]	0.6201	24	1331	25	0	18.7828700225
8382	mRNA_14	1	scaffold_1	36682	38243	+	8382	K07199 PRKAB 5'-AMP-activated protein kinase, regulatory beta subunit	0.6453	11	1561	9	0	5.76553491352
8383	mRNA_15	1	scaffold_1	39313	41292	+	8383	K02321 POLA2 DNA polymerase alpha subunit B	0.6071	22	1979	0	1	0.0
8384	mRNA_16	1	scaffold_1	41535	45882	-	8384	K03407 cheA two-component system, chemotaxis family, sensor kinase CheA	0.6258	58	4347	118	0	27.1451575799
8385	mRNA_17	1	scaffold_1	48620	50142	+	8385	K00856 E2.7.1.20, ADK adenosine kinase	0.631	16	1522	10	0	6.5703022339
8386	mRNA_18	1	scaffold_1	50473	51921	-	8386	KOG1515 Arylacetamide deacetylase	0.6211	19	1448	26	0	17.955801105
8387	mRNA_19	1	scaffold_1	52301	54654	+	8387	KOG1399 Flavin-containing monooxygenase	0.6049	33	2353	30	0	12.749681258
8388	mRNA_20	1	scaffold_1	55031	59299	+	8388	KOG0519 Sensory transduction histidine kinase	0.6163	52	4268	35	0	8.20056232427
8389	mRNA_21	1	scaffold_1	59520	60624	-	8389	SUPERFAMILY--SSF51045	0.619	20	1104	5	0	4.52898550725
8390	mRNA_22	1	scaffold_1	61179	62127	-	8390	SUPERFAMILY--SSF51045	0.6291	16	948	11	0	11.6033755274
8391	mRNA_23	1	scaffold_1	62374	63560	-	8391	K02938 RP-L8e, RPL8 large subunit ribosomal protein L8e	0.6386	20	1186	0	0	0.0
8392	mRNA_24	1	scaffold_1	64525	65394	-	8392	Hypothetical Protein	0.6172	10	869	7	0	8.05523590334
8393	mRNA_25	1	scaffold_1	66506	67548	-	8393	Hypothetical Protein	0.6069	13	1042	5	0	4.79846449136
8394	mRNA_26	1	scaffold_1	68110	69853	-	8394	K04499 RUVBL1, RVB1, INO80H RuvB-like protein 1 (pontin 52)	0.621	25	1743	2	1	1.14744693058
8395	mRNA_27	1	scaffold_1	70303	72461	+	8395	K00088 IMPDH, guaB IMP dehydrogenase	0.6304	15	2158	1	1	0.463392029657
8396	mRNA_28	1	scaffold_1	72914	73928	+	8396	Hypothetical Protein	0.603	10	1014	11	0	10.8481262327
8397	mRNA_29	1	scaffold_1	74095	74821	-	8397	HMMPfam-Swi5-PF07061	0.6259	14	726	13	0	17.9063360882
8398	mRNA_30	1	scaffold_1	75069	76780	-	8398	KOG2798 Putative trehalase	0.6028	24	1711	26	0	15.1957919345
8399	mRNA_31	1	scaffold_1	76865	77832	+	8399	K01520 dut, DUT dUTP pyrophosphatase	0.6116	9	967	7	1	7.23888314374
8400	mRNA_32	1	scaffold_1	78127	78849	-	8400	HMMPfam-Pre-rRNA-processing protein TSR2-PF10273	0.6487	3	722	0	0	0.0
8401	mRNA_33	1	scaffold_1	79205	81384	-	8401	HMMPfam-Myosin-binding striated muscle assembly central-PF11701,SUPERFAMILY--SSF48371	0.6372	22	2179	43	1	19.7338228545
8402	mRNA_34	1	scaffold_1	81530	84325	-	8402	BLAST proteophosphoglycan 5 [Moniliophthora roreri MCA ...	0.6395	30	2795	16	0	5.72450805009
8403	mRNA_35	1	scaffold_1	84983	86013	+	8403	KOG1611 Predicted short chain-type dehydrogenase	0.6004	13	1030	21	0	20.3883495146
8404	mRNA_36	1	scaffold_1	86184	90147	-	8404	K00694 bcsA cellulose synthase (UDP-forming)	0.6433	42	3963	46	0	11.6073681554
8405	mRNA_37	1	scaffold_1	90908	93083	+	8405	HMMPfam-Variant SH3 domain-PF14604,ProSiteProfiles-Src homology 3 (SH3) domain profile.-PS50002,SMART-Src homology 3 domains-SM00326,SUPERFAMILY--SSF50044	0.6268	23	2175	43	0	19.7701149425
8406	mRNA_38	1	scaffold_1	93493	94436	-	8406	HMMPfam-BTB/POZ domain-PF00651,ProSiteProfiles-BTB domain profile.-PS50097	0.6059	15	943	21	0	22.2693531283
8407	mRNA_39	1	scaffold_1	94865	95759	-	8407	HMMPfam-BTB/POZ domain-PF00651,ProSiteProfiles-BTB domain profile.-PS50097,SUPERFAMILY--SSF54695	0.5799	15	894	33	0	36.9127516779
8408	mRNA_40	1	scaffold_1	96128	97227	-	8408	Hypothetical Protein	0.5873	19	1099	18	0	16.3785259327
8409	mRNA_41	1	scaffold_1	97555	101757	+	8409	K03125 TAF1 transcription initiation factor TFIID subunit 1	0.6257	45	4202	2	1	0.475963826749
8410	mRNA_42	1	scaffold_1	101957	104570	-	8410	K09494 CCT2 T-complex protein 1 subunit beta	0.6048	26	2613	1	1	0.382701875239
8411	mRNA_43	1	scaffold_1	104762	105972	+	8411	K05609 UCHL3, YUH1 ubiquitin carboxyl-terminal hydrolase L3	0.5945	14	1210	26	1	21.4876033058
8412	mRNA_44	1	scaffold_1	106197	108340	+	8412	Hypothetical Protein	0.639	11	2143	18	0	8.39944003733
8413	mRNA_45	1	scaffold_1	108511	110701	-	8413	SUPERFAMILY--SSF51445	0.6152	41	2190	23	0	10.502283105
8414	mRNA_46	1	scaffold_1	111074	114249	+	8414	HMMPfam-Protein of unknown function (DUF3292)-PF11696	0.6363	32	3175	75	0	23.6220472441
8415	mRNA_47	1	scaffold_1	114589	115599	-	8415	HMMPfam-Serine hydrolase (FSH1)-PF03959,SUPERFAMILY--SSF53474	0.6093	10	1010	13	0	12.8712871287
8416	mRNA_48	1	scaffold_1	116348	117395	-	8416	HMMPfam-Serine hydrolase (FSH1)-PF03959,SUPERFAMILY--SSF53474	0.6021	16	1047	8	0	7.64087870105
8417	mRNA_49	1	scaffold_1	117701	118562	-	8417	K03133 TAF9B, TAF9 transcription initiation factor TFIID subunit 9B	0.6276	12	861	5	1	5.80720092915
8418	mRNA_50	1	scaffold_1	118975	119840	+	8418	KOG1611 Predicted short chain-type dehydrogenase	0.612	12	865	31	0	35.838150289
8419	mRNA_51	1	scaffold_1	120072	126065	-	8419	K10392 KIF1 kinesin family member 1	0.6166	58	5993	98	1	16.3524111463
8420	mRNA_52	1	scaffold_1	126119	126700	+	8420	Hypothetical Protein	0.6254	9	581	29	0	49.9139414802
8421	mRNA_53	1	scaffold_1	126911	127593	+	8421	K03014 RPB6, POLR2F DNA-directed RNA polymerases I, II, and III subunit RPABC2	0.6164	9	682	0	1	0.0
8422	mRNA_54	1	scaffold_1	128047	129356	+	8422	KOG1505 Lysophosphatidic acid acyltransferase LPAAT and related acyltransferases	0.6015	21	1309	13	0	9.93124522536
8423	mRNA_55	1	scaffold_1	129465	130938	-	8423	HMMPfam-Endonuclease/Exonuclease/phosphatase family-PF03372,SUPERFAMILY--SSF56219	0.6126	17	1473	10	0	6.78886625933
8424	mRNA_56	1	scaffold_1	131074	133280	-	8424	K09499 CCT7 T-complex protein 1 subunit eta	0.6176	22	2206	0	1	0.0
8425	mRNA_57	1	scaffold_1	133642	138012	+	8425	K15176 CTR9 RNA polymerase-associated protein CTR9	0.6388	47	4370	5	0	1.14416475973
8426	mRNA_58	1	scaffold_1	138676	140962	+	8426	HMMPfam-Arrestin (or S-antigen), N-terminal domain-PF00339,SUPERFAMILY--SSF81296	0.6266	30	2286	25	0	10.9361329834
8427	mRNA_59	1	scaffold_1	141223	142116	+	8427	Hypothetical Protein	0.5928	14	893	15	0	16.79731243
8428	mRNA_60	1	scaffold_1	142423	142761	+	8428	Hypothetical Protein	0.6254	4	338	3	0	8.87573964497
8429	mRNA_61	1	scaffold_1	143371	144965	-	8429	SUPERFAMILY--SSF52047	0.6257	17	1594	29	0	18.1932245922
8430	mRNA_62	1	scaffold_1	145631	146829	+	8430	HMMPfam-HPP family-PF04982	0.6155	13	1198	27	0	22.5375626043
8431	mRNA_63	1	scaffold_1	147081	148199	-	8431	K01800 maiA, GSTZ1 maleylacetoacetate isomerase	0.6041	17	1118	16	0	14.3112701252
8432	mRNA_64	1	scaffold_1	148573	150625	+	8432	HMMPfam-Transcription initiation factor TFIID component TAF4 family-PF05236	0.6454	21	2052	1	0	0.487329434698
8433	mRNA_65	1	scaffold_1	150773	154577	+	8433	K12882 NCBP1, CBP80 nuclear cap-binding protein subunit 1	0.6305	46	3804	34	1	8.93796004206
8434	mRNA_66	1	scaffold_1	154666	156000	-	8434	K15118 SLC25A38 solute carrier family 25, member 38	0.6195	28	1334	14	0	10.4947526237
8435	mRNA_67	1	scaffold_1	156273	158120	-	8435	K05864 PPID, CYPD peptidyl-prolyl isomerase D	0.5909	21	1847	26	0	14.0768814293
8436	mRNA_68	1	scaffold_1	158685	163751	+	8436	K12599 SKI2, SKIV2L antiviral helicase SKI2	0.6136	64	5066	39	1	7.69838136597
8437	mRNA_69	1	scaffold_1	163948	165826	+	8437	K03029 PSMD4, RPN10 26S proteasome regulatory subunit N10	0.6243	12	1878	21	1	11.1821086262
8438	mRNA_70	1	scaffold_1	166029	167085	+	8438	HMMPfam-Membrane-associating domain-PF01284	0.6168	13	1056	19	0	17.9924242424
8439	mRNA_71	1	scaffold_1	167576	168117	-	8439	HMMPfam-YABBY protein-PF04690,SUPERFAMILY--SSF47095	0.5646	7	541	6	0	11.0905730129
8440	mRNA_72	1	scaffold_1	168332	168818	+	8440	BLAST apses-domain-containing protein [Moesziomyces ant...	0.655	4	486	13	0	26.7489711934
8441	mRNA_73	1	scaffold_1	169827	173814	+	8441	K00698 CHS1 chitin synthase	0.5873	63	3987	30	1	7.52445447705
8442	mRNA_74	1	scaffold_1	174089	180350	-	8442	KOG3600 Thyroid hormone receptor-associated protein complex, subunit TRAP240	0.6452	60	6261	92	0	14.6941383166
8443	mRNA_75	1	scaffold_1	180761	182108	-	8443	K00606 panB 3-methyl-2-oxobutanoate hydroxymethyltransferase	0.6476	14	1347	32	1	23.7564959169
8444	mRNA_76	1	scaffold_1	182247	184330	+	8444	K18164 NDUFAF7 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	0.6137	28	2083	1	0	0.48007681229
8445	mRNA_77	1	scaffold_1	184388	185510	-	8445	K13121 FRA10AC1 protein FRA10AC1	0.6269	14	1122	10	0	8.91265597148
8446	mRNA_78	1	scaffold_1	185623	186207	+	8446	HMMPfam-NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)-PF07225	0.6376	6	584	1	0	1.71232876712
8447	mRNA_79	1	scaffold_1	186706	188932	+	8447	K04906 KCNH3 potassium voltage-gated channel Eag-related subfamily H member 3	0.6201	28	2226	23	0	10.3324348607
8448	mRNA_80	1	scaffold_1	189215	191649	+	8448	K04911 KCNH8 potassium voltage-gated channel Eag-related subfamily H member 8	0.6407	21	2434	13	0	5.34100246508
8449	mRNA_81	1	scaffold_1	191913	194364	-	8449	K12176 COPS2, CSN2, TRIP15 COP9 signalosome complex subunit 2	0.6015	41	2451	25	0	10.1999184007
8450	mRNA_82	1	scaffold_1	194842	197479	+	8450	KOG0519 Sensory transduction histidine kinase	0.6107	29	2637	43	0	16.3064087979
8451	mRNA_83	1	scaffold_1	197528	201315	-	8451	Hypothetical Protein	0.6732	33	3787	29	0	7.65777660417
8452	mRNA_84	1	scaffold_1	201823	202716	+	8452	K01522 FHIT bis(5'-adenosyl)-triphosphatase	0.5973	14	893	8	0	8.95856662934
8453	mRNA_85	1	scaffold_1	203010	204516	+	8453	BLAST glutamine synthetase [Sanghuangporus baumii]	0.6125	19	1506	19	0	12.6162018592
8454	mRNA_86	1	scaffold_1	204818	206685	-	8454	K01452 E3.5.1.41 chitin deacetylase	0.6076	29	1867	17	0	9.10551687199
8455	mRNA_87	1	scaffold_1	207025	210193	-	8455	BLAST HAP1, N-terminal [Xanthophyllomyces dendrorhous]	0.6434	24	3168	23	0	7.2601010101
8456	mRNA_88	1	scaffold_1	210659	212272	-	8456	K17361 ACOT9 acyl-coenzyme A thioesterase 9	0.6177	18	1613	26	0	16.119032858
8457	mRNA_89	1	scaffold_1	213359	214966	+	8457	HMMPfam-Polysaccharide deacetylase-PF01522,ProSiteProfiles-NodB homology domain profile.-PS51677,SUPERFAMILY--SSF88713	0.6362	23	1607	20	0	12.4455507156
8458	mRNA_90	1	scaffold_1	215330	215955	-	8458	Hypothetical Protein	0.6166	10	625	5	0	8.0
8459	mRNA_91	1	scaffold_1	216175	216894	+	8459	HMMPfam-Domain of unknown function (DUF4604)-PF15377	0.6139	4	719	11	0	15.2990264256
8460	mRNA_92	1	scaffold_1	217373	218871	-	8460	KOG2914 Predicted haloacid-halidohydrolase and related hydrolases	0.6231	16	1498	7	0	4.67289719626
8461	mRNA_93	1	scaffold_1	219909	221427	+	8461	ProSiteProfiles-BTB domain profile.-PS50097	0.6142	27	1518	10	0	6.58761528327
8462	mRNA_94	1	scaffold_1	221579	223787	-	8462	KOG0255 Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)	0.6062	39	2208	18	0	8.15217391304
